country,year,inv,gdppc,remit,aid,lendint,open,gs
Gabon,1995 ,22.6769546,4600.584294,0.090174531,2.894625285,16,95.13469619,32.67077137
Gabon,1996 ,23.46196,4635.670938,0.100590497,2.218284382,22,95.67090085,40.4553634
Gabon,1997 ,30.15020452,4772.778502,0.115371008,0.728953129,22,98.53626451,40.73646904
Gabon,1998 ,38.41209907,4814.998402,0.124083176,0.993884729,22,95.97478261,25.71443416
Gabon,1999 ,26.16858187,4279.795895,0.091083246,1.02101831,22,97.73145246,34.54066498
Gabon,2000 ,21.90205643,4102.624602,0.119394712,0.23007714,22,101.7019289,41.65401031
Gabon,2001 ,25.70939011,4097.561424,0.113815961,0.180994543,20.66666667,92.07456509,36.6877095
Gabon,2002 ,24.51185415,3999.953933,0.057721401,1.453106443,18,87.90617363,31.36632872
Gabon,2003 ,23.95510111,4015.10733,0.098917337,-0.174569842,18,86.41983575,33.43835765
Gabon,2004 ,24.39313895,3988.362889,0.095461618,0.555436706,18,94.22601154,35.41816186
"Gambia, The",1980 ,,630.4766662,0.162153949,21.83479168,15,106.334686,16.35490638
"Gambia, The",1981 ,25.33390221,628.4387031,0.132273549,30.79979352,18,110.718136,24.28971736
"Gambia, The",1982 ,22.46033057,600.7492097,0.086930173,21.34222957,18,103.9725423,19.86792246
"Gambia, The",1983 ,18.88316547,640.4174054,0.328480077,18.91790323,18,112.970544,10.04140797
"Gambia, The",1984 ,18.31340466,635.8501573,,29.18108355,18,115.9141347,12.13709
